0  -4.925  8.47735  -5.575  15.5418
10  -5.375  10.1257  -5.75  16.7192
20  -5.95  14.3644  -5.95  18.8386
30  -6.025  18.8386  -5.9  22.1353
40  -5.7  23.3127  -5.55  25.6675
50  -5.1  27.3159  -4.9  28.9643
60  -4.2  30.6127  -4  32.0256
70  -3  32.732  -2.8  33.6739
80  -1.525  34.1449  -1.425  35.0868
